Medal,Code,Athlete,Distance,Year,City,Gender
Gold,SWE,eric lemming,54.83,1908,London,Men
Silver,NOR,arne halse,50.57,1908,London,Men
Bronze,SWE,otto nilsson,47.11,1908,London,Men
Gold,SWE,eric lemming,60.64,1912,Stockholm,Men
Silver,FIN,juho julius saaristo,58.66,1912,Stockholm,Men
Bronze,HUN,mor kovacs,55.5,1912,Stockholm,Men
Gold,FIN,jonni myyrä,65.78,1920,Antwerp,Men
Silver,FIN,urho pellervo peltonen,63.605,1920,Antwerp,Men
Bronze,FIN,paavo johansson,63.095,1920,Antwerp,Men
Gold,FIN,jonni myyrä,62.96,1924,Paris,Men
Silver,SWE,gunnar lindström,60.92,1924,Paris,Men
Bronze,USA,eugene oberst,58.35,1924,Paris,Men
Gold,SWE,erik h. lundqvist,66.6,1928,Amsterdam,Men
Silver,HUN,bela szepes-strauch,65.26,1928,Amsterdam,Men
Bronze,NOR,olav sunde,63.97,1928,Amsterdam,Men
Gold,FIN,matti henrik jarvinen,72.71,1932,Los Angeles,Men
Silver,FIN,matti kalervo sippala,69.8,1932,Los Angeles,Men
Bronze,FIN,eino penttila,68.7,1932,Los Angeles,Men
Gold,USA,mildred didrikson,43.69,1932,Los Angeles,Women
Silver,GER,ellen braumüller,43.5,1932,Los Angeles,Women
Bronze,GER,mathilde (tilly) fleischer,43.01,1932,Los Angeles,Women
Gold,GER,gerhard stöck,71.84,1936,Berlin,Men
Silver,FIN,yrjo jouko nikkanen,70.77,1936,Berlin,Men
Bronze,FIN,kaarlo kalervo toivonen,70.72,1936,Berlin,Men
Gold,GER,mathilde (tilly) fleischer,45.18,1936,Berlin,Women
Silver,GER,luise krüger,43.29,1936,Berlin,Women
Bronze,POL,marja jadwiga kwasniewska-maleszewska,41.8,1936,Berlin,Women
Gold,FIN,kaj tapio rautavaara,69.77,1948,London,Men
Silver,USA,stephen andrew seymour,67.56,1948,London,Men
Bronze,HUN,jozsef varszegi,67.03,1948,London,Men
Gold,AUT,hermine (herma) bauma,45.57,1948,London,Women
Silver,FIN,kaisa parviainen,43.79,1948,London,Women
Bronze,DEN,lily marie louise carlstedt-kelsby,42.08,1948,London,Women
Gold,USA,cyrus c. jr. young,73.78,1952,Helsinki,Men
Silver,USA,william preston miller,72.46,1952,Helsinki,Men
Bronze,FIN,toivo armas hyytiäinen,71.89,1952,Helsinki,Men
Gold,TCH,dana ingrova-zatopkova,50.47,1952,Helsinki,Women
Silver,URS,aleksandra chudina,50.01,1952,Helsinki,Women
Bronze,URS,elena gorchakova,49.76,1952,Helsinki,Women
Gold,NOR,egil danielsen,85.71,1956,Melbourne,Men
Silver,POL,janusz sidlo,79.98,1956,Melbourne,Men
Bronze,URS,viktor tsybulenko,79.5,1956,Melbourne,Men
Gold,URS,inese yaunzeme,53.86,1956,Melbourne,Women
Silver,CHI,marlene ahrens,50.38,1956,Melbourne,Women
