Medal,Country,Athlete,Distance,Year,City,Gender,Sport,Event,Discipline
Gold,GER,"ROHLER, Thomas",90.3,2016,Rio,Men,Athletics,Javelin Throw,Athletics
Silver,KEN,"YEGO, Julius",88.24,2016,Rio,Men,Athletics,Javelin Throw,Athletics
Bronze,TTO,"WALCOTT, Keshorn",85.38,2016,Rio,Men,Athletics,Javelin Throw,Athletics
Gold,CRO,"KOLAK, Sara",66.18,2016,Rio,Women,Athletics,Javelin Throw,Athletics
Silver,RSA,"VILJOEN, Sunette",64.92,2016,Rio,Women,Athletics,Javelin Throw,Athletics
Bronze,CZE,"SPOTAKOVA, Barbora",64.8,2016,Rio,Women,Athletics,Javelin Throw,Athletics
Gold,IND,"CHOPRA, Neeraj",87.58,2020,Tokyo,Men,Athletics,Javelin Throw,Athletics
Silver,CZE,"VADLEJCH, Jakub",86.67,2020,Tokyo,Men,Athletics,Javelin Throw,Athletics
Bronze,CZE,"VESELY, Vitezslav",85.44,2020,Tokyo,Men,Athletics,Javelin Throw,Athletics
Gold,CHN,"LIU, Shiying",66.34,2020,Tokyo,Women,Athletics,Javelin Throw,Athletics
Silver,POL,"ANDREJCZYK, Maria",64.61,2020,Tokyo,Women,Athletics,Javelin Throw,Athletics
Bronze,AUS,"ROBERTS, Kelsey-Lee",64.56,2020,Tokyo,Women,Athletics,Javelin Throw,Athletics
